Date,Region,Facility,Energy_MWh,Emission_Factor,Production,Emissions_tCO2,Waste_Kg,Renewable_percent,Transport_Emissions,PolicyWeight
"Friday, March 01, 2024",Region 1,Facility 31,4.46025,EF,0.0,0.13,95.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 1,Facility 31,4.70038,EF,0.0,0.27,94.0,40.0,0,0.8
"Saturday, April 01, 2023",Region 2,Facility 32,4.88298,EF,0.0,0.0,29286.0,40.0,0,1.2
"Monday, January 01, 2024",Region 1,Facility 31,5.59213,EF,0.0,0.37,492.0,40.0,0,0.8
"Sunday, June 01, 2025",Region 2,Facility 1,5.6722,EF,106.0,1.03,0.0,,0,1.2
"Monday, April 01, 2024",Region 1,Facility 31,5.79899,EF,0.0,0.1,227.0,40.0,0,0.8
"Friday, December 01, 2023",Region 1,Facility 31,5.81734,EF,0.0,0.26,593.0,40.0,0,0.8
"Sunday, October 01, 2023",Region 1,Facility 31,6.36519,EF,0.0,0.21,1248.0,40.0,0,0.8
"Wednesday, November 01, 2023",Region 1,Facility 31,6.50599,EF,0.0,0.21,1281.0,40.0,0,0.8
"Saturday, June 01, 2024",Region 1,Facility 31,7.194,EF,0.0,0.35,2459.0,40.0,0,0.8
"Friday, September 01, 2023",Region 1,Facility 31,7.24977,EF,0.0,0.23,1033.0,40.0,0,0.8
"Tuesday, August 01, 2023",Region 1,Facility 31,7.55158,EF,0.0,0.22,1432.0,40.0,0,0.8
"Monday, May 01, 2023",Region 1,Facility 31,7.63712,EF,0.0,0.28,1880.0,40.0,0,0.8
"Saturday, July 01, 2023",Region 1,Facility 31,7.80443,EF,0.0,0.27,1688.0,40.0,0,0.8
"Sunday, January 01, 2023",Region 1,Facility 31,8.00301,EF,0.0,0.19,1380.0,40.0,0,0.8
"Wednesday, February 01, 2023",Region 1,Facility 31,8.29291,EF,0.0,0.29,1550.0,40.0,0,0.8
"Thursday, June 01, 2023",Region 1,Facility 31,8.31457,EF,0.0,0.43,1780.0,40.0,0,0.8
"Wednesday, May 01, 2024",Region 1,Facility 31,9.02312,EF,0.0,0.96,320.0,40.0,0,0.8
"Wednesday, March 01, 2023",Region 1,Facility 31,9.28857,EF,0.0,0.64,1485.0,40.0,0,0.8
"Saturday, April 01, 2023",Region 1,Facility 31,10.9085,EF,0.0,1.1,1565.0,40.0,0,0.8
