Facility,Target_2030,ProbMeetTargetNHITS,ProbMeetTargetXGBoost,ProbMeetTargetBNN,P_i_percent,PredictionNHITS,PredictionXGBoost,PredictionBNN,Prediction,UncertaintyNHITS,UncertaintyXGBoost,UncertaintyBNN,Uncertainty_sigma,RiskLevel,TierLabel
Facility 1,6.816249999999999,0.307,0.566,0.01,0.3677354709418837,13.698233604431152,5.561879634857178,9.255060195922852,10.32987085273676,16.60314308449074,3.232996352016926,1.004307508468628,8.702873716504088,Medium Risk,Low Emitters
Facility 10,5.161333333333333,0.762,0.615,0.27,0.5210420841683366,4.635176181793213,3.8595476150512695,5.838795185089111,5.3114316726849,0.753895568847656,1.7097202129662037,1.486712098121643,1.4981980974059654,Medium Risk,Low Emitters
Facility 11,63.68425,0.046,0.656,0.17,0.5005015045135406,134.84347534179688,67.10974884033203,72.40928649902344,72.99037084763842,39.063982928240726,3.2077819108963013,9.92442226409912,30.209043968519808,Medium Risk,Medium Emitters
Facility 12,6.0865,0.055,0.0,0.85,0.2144288577154308,11.336480140686035,9.99666690826416,4.585197925567627,9.095594017756577,3.194500958478009,2.590045891702175,1.2589895725250244,3.624105851265174,High Risk,Low Emitters
Facility 13,23.08833333333333,0.267,0.0,1.0,0.075075075075075,33.25869369506836,28.45907211303711,1.1354306936264038,30.095521830304865,15.770191333912036,1.7261087894439695,1.294916033744812,7.404439038294616,Critical Risk,Low Emitters
Facility 14,60.523166666666654,0.443,0.531,0.17,0.4749498997995992,71.52909088134766,53.975982666015625,66.12288665771484,69.86982866784815,74.0122902199074,31.489713490009308,5.522799491882324,46.058114154363686,Medium Risk,Low Emitters
Facility 15,1.83575,0.41,0.0,0.31,0.2587763289869609,1.930251955986023,2.5478785037994385,2.1544740200042725,2.1609262033636254,0.4216332047073927,0.4151006229221821,0.6492533683776855,0.5587446497980855,High Risk,Low Emitters
Facility 16,158.63166666666666,0.302,0.617,1.0,0.5045045045045045,213.3783721923828,135.549560546875,1.849046230316162,178.87891711218936,101.55415943287036,33.167362213134766,0.6685162782669067,70.87790445441966,Medium Risk,Medium Emitters
Facility 17,130.41349999999997,0.746,0.615,1.0,0.6146146146146146,86.48638153076172,92.60530090332033,6.923145771026611,131.65978517004297,57.76944444444442,45.44451832771301,1.546258568763733,52.78796133117133,Medium Risk,Medium Emitters
Facility 18,95.88716666666666,0.348,0.0,1.0,0.1721721721721721,118.21941375732422,143.3485107421875,17.160633087158203,134.52290917754365,67.96346932870371,16.271114349365234,2.207493782043457,48.81770880856652,High Risk,Medium Emitters
Facility 19,54.789583333333326,0.02,0.408,1.0,0.2792792792792792,80.12100219726562,56.88239669799805,6.614258289337158,67.20250723546152,13.27246184172454,11.916692554950714,2.222752571105957,14.353475091236344,High Risk,Medium Emitters
Facility 2,0.2309999999999999,0.0,0.0,0.65,0.1875626880641925,0.68013995885849,0.3600000143051147,0.266055554151535,0.4566597263800159,0.1007336016054506,0.0754566281102597,0.4051669836044311,0.308163346073595,High Risk,Low Emitters
Facility 20,78.47991666666665,0.492,0.11,1.0,0.4478957915831663,79.59261322021484,105.15460205078124,53.24577713012695,86.95091773666638,39.05224971064816,27.719497680664062,5.840377807617188,35.73470689729183,Medium Risk,Low Emitters
Facility 21,78.83691666666667,0.011,0.0,1.0,0.2064128256513026,136.8197021484375,102.2908706665039,58.100196838378906,104.41578276356051,25.670965350115736,6.057733297348023,6.021016597747803,30.2805714954472,High Risk,Medium Emitters
Facility 22,85.78091666666667,0.225,0.0,1.0,0.1793587174348697,127.27590942382812,110.12340545654295,61.20854949951172,110.69645875357466,49.81453993055555,12.01728880405426,6.276649951934815,35.45658305335274,High Risk,Medium Emitters
Facility 23,63.04666666666666,0.021,0.118,0.8,0.2016048144433299,92.35631561279295,68.58562469482422,57.966941833496094,76.48190870306723,13.714478443287028,10.653160512447355,6.462082386016846,16.12718822373067,High Risk,Medium Emitters
Facility 24,127.3055,0.414,0.251,1.0,0.376753507014028,145.97003173828125,160.21917724609375,90.01152038574219,153.96858060655134,103.60677083333331,48.11424911022186,7.767714023590088,77.74693513891575,Medium Risk,Medium Emitters
Facility 25,56.38441666666666,0.943,0.0,0.89,0.6700100300902708,32.0583381652832,66.4695053100586,45.2072639465332,50.18262720952401,15.332935474537036,17.380045354366302,9.53945255279541,22.190718975309515,Medium Risk,Medium Emitters
Facility 26,125.87808333333332,0.023,0.0,1.0,0.0982948846539618,201.5686492919922,178.29664611816406,103.0096664428711,170.96141725321766,39.01516565393519,9.045970439910889,9.346558570861816,36.49750556476356,Critical Risk,Medium Emitters
Facility 27,255.843,0.267,0.348,1.0,0.3443443443443443,357.845458984375,269.9534912109375,91.6937026977539,305.591584212732,173.5181568287037,61.56657934188843,7.903558254241943,103.63812124228066,Medium Risk,High Emitters
Facility 28,218.02025,0.413,0.277,1.0,0.3791374122367101,238.78208923339844,250.35260009765625,107.8454132080078,249.19879117616128,95.44907407407408,74.07639026641846,10.435089111328123,87.96770182796581,Medium Risk,High Emitters
Facility 29,160.63191666666663,0.393,0.0,1.0,0.1711711711711711,199.1168975830078,216.72589111328125,12.517367362976074,225.8074342169898,129.9247395833333,-2.5914430618286133,1.8961416482925413,90.04887647578111,High Risk,Medium Emitters
Facility 3,7.666749999999999,0.91,0.247,0.09,0.2938816449348044,3.6230175495147705,7.841423034667969,9.562682151794434,8.46425030201558,2.9370499222366897,1.837778836488724,1.2688698768615725,2.6688501462299627,High Risk,Low Emitters
Facility 30,269.95733333333334,0.23,0.0,1.0,0.0920920920920921,363.4798889160156,352.5064392089844,26.75491523742676,362.58356036910646,121.44513888888888,54.90027666091919,3.053349018096924,84.8959033680163,Critical Risk,High Emitters
Facility 4,5.2395,0.11,0.272,0.99,0.4463390170511535,8.886828422546387,5.497273921966553,2.102475643157959,5.890467714765284,2.9607767740885422,1.3721901923418045,0.9760557413101196,3.4658247320202173,Medium Risk,Low Emitters
Facility 5,25.537166666666668,0.247,0.0,1.0,0.234704112337011,32.78535461425781,32.97784423828125,8.621472358703613,30.27336447391501,9.890907118055557,2.8387054800987244,1.6805970668792725,11.269696425508515,High Risk,Low Emitters
Facility 6,13.035166666666663,0.22,0.0,0.82,0.2705410821643286,15.617342948913574,14.656513214111328,11.236833572387695,15.04715646928538,3.2522341127748824,3.001702204346657,1.881873607635498,3.729426843664703,High Risk,Low Emitters
Facility 7,36.98916666666666,0.243,0.51,0.94,0.6346346346346347,50.70587158203125,35.16233825683594,32.343994140625,37.43214541127468,18.05921585648148,14.052610099315643,3.631361722946167,11.174723362681425,Medium Risk,Low Emitters
Facility 8,2.0591666666666666,0.081,0.0,0.4,0.2064128256513026,2.6399972438812256,2.543152093887329,2.083781480789185,2.412485449501803,0.425676444724754,0.4002521745860576,0.8743604421615601,0.7355167707894993,High Risk,Low Emitters
Facility 9,40.628,0.948,0.0,1.0,0.4364364364364364,25.110013961791992,51.798316955566406,3.8464412689208975,41.36805434369332,9.48575755931713,6.205900013446808,1.0974373817443848,17.337878947165336,Medium Risk,Low Emitters
